contentid,title,addr,tel,status,score,decision_reason,matched_candidate_title,matched_candidate_addr,searched_queries,distance_m
3200047,도화스테이,서울특별시 마포구 새창로4가길 9 (도화동),010-6326-9649,review_needed,1.3714,"주소는 가깝지만 상호 불일치: name=0.00, addr=0.29, dist=75.10890364693006",마포공덕술집 그때그집,서울특별시 마포구 새창로4길 12 1층,도화스테이 | 도화스테이 서울 마포구 | 도화스테이 새창로4가길 9 | 서울 마포구 새창로4가길 9 | 서울 마포구 새창로4가길 9 도화스테이,75.11
3200048,동서울 관광호텔,서울특별시 광진구 구의강변로 38 동서울호텔,02-455-1100,review_needed,2.22,"부분 일치: name=0.00, addr=0.80, dist=8.769670895994668",더프리마호텔 동서울(2027년예정),서울특별시 광진구 구의강변로 38 동서울호텔,동서울 관광호텔 | 동서울 관광호텔 서울 광진구 | 동서울 관광호텔 구의강변로 38 | 서울 광진구 구의강변로 38 | 서울 광진구 구의강변로 38 동서울 관광호텔,8.77
3200050,드어반관광호텔,서울특별시 강서구 곰달래로24길 35,0507-1418-6393,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=8.061343465622095",호텔드어반,서울특별시 강서구 곰달래로24길 35,드어반관광호텔 | 드어반관광호텔 서울 강서구 | 드어반관광호텔 곰달래로24길 35 | 서울 강서구 곰달래로24길 35 | 서울 강서구 곰달래로24길 35 드어반관광호텔,8.06
3200055,라마다호텔 동대문,서울특별시 중구 동호로 354,02-2276-3500,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=7.186133839726949",아마노 동대문라마다호텔 주차장,서울특별시 중구 동호로 354,라마다호텔 동대문 | 라마다호텔 동대문 서울 중구 | 라마다호텔 동대문 동호로 354 | 서울 중구 동호로 354 | 서울 중구 동호로 354 라마다호텔 동대문,7.19
3200057,라우펜스테이,"서울특별시 금천구 독산로44길 29 (시흥동, 인경스마트빌딩)",010-6267-7530,no_match,0.0,네이버 검색 결과 없음,,,라우펜스테이 | 라우펜스테이 서울 금천구 | 라우펜스테이 독산로44길 29 | 서울 금천구 독산로44길 29 | 서울 금천구 독산로44길 29 라우펜스테이,
3200059,라이프스타일 F호텔,서울특별시 영등포구 경인로108길 8,02-2675-1984,closed_suspected,1.3337,"강한 일치 후보 없음: name=0.72, addr=0.14, dist=8264.454220557565",프로라,서울특별시 서초구 신반포로 176,라이프스타일 F호텔 | 라이프스타일 F호텔 서울 영등포구 | 라이프스타일 F호텔 경인로108길 8 | 프 | 프 서울 영등포구 | 프 경인로108길 8 | 서울 영등포구 경인로108길 8 | 서울 영등포구 경인로108길 8 라이프스타일 F호텔,8264.45
3200060,락고재 서울 북촌 한옥호텔,서울특별시 종로구 계동길 49-23,02-742-3410,review_needed,1.45,"주소는 가깝지만 상호 불일치: name=0.00, addr=0.33, dist=13.822049766137415",락고재 서울 본관,서울특별시 종로구 가회동 218,락고재 서울 북촌 한옥호텔 | 락고재 서울 북촌 한옥호텔 서울 종로구 | 락고재 서울 북촌 한옥호텔 계동길 49-23 | 서울 종로구 계동길 49-23 | 서울 종로구 계동길 49-23 락고재 서울 북촌 한옥호텔,13.82
3200089,명동게스트하우스 꼬모,서울특별시 중구 퇴계로24길 12,02-755-5437,no_match,0.0,네이버 검색 결과 없음,,,명동게스트하우스 꼬모 | 명동게스트하우스 꼬모 서울 중구 | 명동게스트하우스 꼬모 퇴계로24길 12 | 서울 중구 퇴계로24길 12 | 서울 중구 퇴계로24길 12 명동게스트하우스 꼬모,
3200090,모드하우스,서울특별시 용산구 회나무로39가길 18 (이태원동),0507-1371-4331,review_needed,1.9333,"부분 일치: name=1.00, addr=0.11, dist=5383.7990580419855",모드하우스,서울특별시 강남구 도산대로 532 인희빌딩 5층,모드하우스 | 모드하우스 서울 용산구 | 모드하우스 회나무로39가길 18 | 서울 용산구 회나무로39가길 18 | 서울 용산구 회나무로39가길 18 모드하우스,5383.8
3200095,베니키아 노블 호텔,서울특별시 종로구 율곡로6길 13-3 노블호텔,02-742-4025~9,review_needed,2.0,"부분 일치: name=0.00, addr=0.67, dist=6.927448363155372",노블관광호텔 인사동,서울특별시 종로구 율곡로6길 13-3 노블관광호텔,베니키아 노블 호텔 | 베니키아 노블 호텔 서울 종로구 | 베니키아 노블 호텔 율곡로6길 13-3 | 서울 종로구 율곡로6길 13-3 노블호텔 | 서울 종로구 율곡로6길 13-3 노블호텔 베니키아 노블 호텔 | 서울 종로구 율곡로6길 13-3,6.93
3200096,베니키아 프리미어 호텔 베르누이,서울특별시 구로구 경인로 229,02-2683-9000,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=3.0653797654092205",호텔 베르누이 서울,서울특별시 구로구 경인로 229,베니키아 프리미어 호텔 베르누이 | 베니키아 프리미어 호텔 베르누이 서울 구로구 | 베니키아 프리미어 호텔 베르누이 경인로 229 | 서울 구로구 경인로 229 | 서울 구로구 경인로 229 베니키아 프리미어 호텔 베르누이,3.07
3200097,보나게스트하우스,"서울특별시 영등포구 영등포로 351 (신길동, 신길동경남아파트)",010-4281-1448,no_match,0.0,네이버 검색 결과 없음,,,보나게스트하우스 | 보나게스트하우스 서울 영등포구 | 보나게스트하우스 영등포로 351 | 서울 영등포구 영등포로 351 | 서울 영등포구 영등포로 351 보나게스트하우스,
3200103,북촌 게스트하우스,서울특별시 종로구 북촌로 20-17,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=4.192543914228317",하여재,서울특별시 종로구 북촌로 20-17,북촌 게스트하우스 | 북촌 게스트하우스 서울 종로구 | 북촌 게스트하우스 북촌로 20-17 | 서울 종로구 북촌로 20-17 | 서울 종로구 북촌로 20-17 북촌 게스트하우스,4.19
3200107,빅 존스 플레이스,서울특별시 강남구 강남대로110길 31-1,010-3114-9132,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=9.330271934236832",Big Johns Place,서울특별시 강남구 강남대로110길 31-1,빅 존스 플레이스 | 빅 존스 플레이스 서울 강남구 | 빅 존스 플레이스 강남대로110길 31-1 | 서울 강남구 강남대로110길 31-1 | 서울 강남구 강남대로110길 31-1 빅 존스 플레이스,9.33
3200108,사월 한옥,서울특별시 성북구 성북로 76-11 (성북동),0504-0904-2789,closed_suspected,-0.27,"강한 일치 후보 없음: name=0.00, addr=0.00, dist=247298.24770528343",동인동 김치찜 시지직영점,대구광역시 수성구 욱수길 12 1층,사월 한옥 | 사월 한옥 서울 성북구 | 사월 한옥 성북로 76-11 | 서울 성북구 성북로 76-11 | 서울 성북구 성북로 76-11 사월 한옥,247298.25
3200111,서울 성북 홈스테이,서울특별시 성북구 화랑로 76,010-2227-9627,closed_suspected,0.28,"강한 일치 후보 없음: name=0.00, addr=0.33, dist=1992.3236971300416",홈스테이위드,서울특별시 성북구 보문로34나길 43,서울 성북 홈스테이 | 서울 성북 홈스테이 서울 성북구 | 서울 성북 홈스테이 화랑로 76 | 서울 성북구 화랑로 76 | 서울 성북구 화랑로 76 서울 성북 홈스테이,1992.32
3200116,서울역 알게스트하우스,서울특별시 용산구 만리재로36길 16-7,02-2039-2911,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=5.146249811818371",R guesthouse,서울특별시 용산구 만리재로36길 16-7,서울역 알게스트하우스 | 서울역 알게스트하우스 서울 용산구 | 서울역 알게스트하우스 만리재로36길 16-7 | 서울 용산구 만리재로36길 16-7 | 서울 용산구 만리재로36길 16-7 서울역 알게스트하우스,5.15
3200120,서울크라운88게스트하우스 [한국관광 품질인증/Korea Quality],서울특별시 마포구 성미산로 189,02-720-2960,no_match,0.0,네이버 검색 결과 없음,,,서울크라운88게스트하우스 [한국관광 품질인증/Korea Quality] | 서울크라운88게스트하우스 [한국관광 품질인증/Korea Quality] 서울 마포구 | 서울크라운88게스트하우스 [한국관광 품질인증/Korea Quality] 성미산로 189 | 코리아케우아엘이트와이 | 코리아케우아엘이트와이 서울 마포구 | 코리아케우아엘이트와이 성미산로 189 | 코리아 케우아엘이트와이 | 코리아 케우아엘이트와이 서울 마포구 | 코리아 케우아엘이트와이 성미산로 189 | 서울 마포구 성미산로 189 | 서울 마포구 성미산로 189 서울크라운88게스트하우스 [한국관광 품질인증/Korea Quality],
3200124,서촌게스트하우스[한국관광 품질인증/Korea Quality],서울특별시 종로구 자하문로7길 28-3,02-473-9680,no_match,0.0,네이버 검색 결과 없음,,,서촌게스트하우스[한국관광 품질인증/Korea Quality] | 서촌게스트하우스[한국관광 품질인증/Korea Quality] 서울 종로구 | 서촌게스트하우스[한국관광 품질인증/Korea Quality] 자하문로7길 28-3 | 코리아케우아엘이트와이 | 코리아케우아엘이트와이 서울 종로구 | 코리아케우아엘이트와이 자하문로7길 28-3 | 코리아 케우아엘이트와이 | 코리아 케우아엘이트와이 서울 종로구 | 코리아 케우아엘이트와이 자하문로7길 28-3 | 서울 종로구 자하문로7길 28-3 | 서울 종로구 자하문로7길 28-3 서촌게스트하우스[한국관광 품질인증/Korea Quality],
3200130,센서빌리,서울특별시 동대문구 서울시립대로25길 10 (전농동),010-2145-4339,no_match,0.0,네이버 검색 결과 없음,,,센서빌리 | 센서빌리 서울 동대문구 | 센서빌리 서울시립대로25길 10 | 서울 동대문구 서울시립대로25길 10 | 서울 동대문구 서울시립대로25길 10 센서빌리,
3200136,소피텔 앰배서더 서울 호텔&서비스드 레지던스,서울특별시 송파구 잠실로 209,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=23.205372193661454",소피텔 앰배서더 서울 호텔 &amp; 서비스드 레지던스,서울특별시 송파구 잠실로 209,소피텔 앰배서더 서울 호텔&서비스드 레지던스 | 소피텔 앰배서더 서울 호텔&서비스드 레지던스 서울 송파구 | 소피텔 앰배서더 서울 호텔&서비스드 레지던스 잠실로 209 | 서울 송파구 잠실로 209 | 서울 송파구 잠실로 209 소피텔 앰배서더 서울 호텔&서비스드 레지던스,23.21
3200138,숨바꼭질(Hide & Seek)(Hide & Seek (숨바꼭질) 게스트하우스),서울특별시 종로구 자하문로6길 14,02-6925-5916,closed_suspected,1.364,"강한 일치 후보 없음: name=0.86, addr=0.00, dist=74012.0004186317",숨바꼭질,강원특별자치도 춘천시 효자상길 8-13,숨바꼭질(Hide & Seek)(Hide & Seek (숨바꼭질) 게스트하우스) | 숨바꼭질(Hide & Seek)(Hide & Seek (숨바꼭질) 게스트하우스) 서울 종로구 | 숨바꼭질(Hide & Seek)(Hide & Seek (숨바꼭질) 게스트하우스) 자하문로6길 14 | 숨바꼭질 게스트하우스) | 숨바꼭질 게스트하우스) 서울 종로구 | 숨바꼭질 게스트하우스) 자하문로6길 14 | Hide & Seek | Hide & Seek 서울 종로구 | Hide & Seek 자하문로6길 14 | Hide & Seek (숨바꼭질 | Hide & Seek (숨바꼭질 서울 종로구 | Hide & Seek (숨바꼭질 자하문로6길 14 | 서울 종로구 자하문로6길 14 | 서울 종로구 자하문로6길 14 숨바꼭질(Hide & Seek)(Hide & Seek (숨바꼭질) 게스트하우스) | 서울 종로구 자하문로6길 14 숨바꼭질 게스트하우스),74012.0
3200143,스테이 공간,서울특별시 영등포구 선유서로25길 18-7 (양평동2가),010-6281-3713,closed_suspected,0.2014,"강한 일치 후보 없음: name=0.00, addr=0.29, dist=1214.1830297224615",스테이영 YDP,서울특별시 영등포구 당산로18길 11-1 301호,스테이 공간 | 스테이 공간 서울 영등포구 | 스테이 공간 선유서로25길 18-7 | 서울 영등포구 선유서로25길 18-7 | 서울 영등포구 선유서로25길 18-7 스테이 공간,1214.18
3200151,스테이영에버,서울특별시 종로구 창신8길 17 (창신동),010-5190-1529,closed_suspected,-0.0638,"강한 일치 후보 없음: name=0.00, addr=0.12, dist=20025.774935729285",플레이팜,서울특별시 강서구 개화동로4길 1191 플레이팜,스테이영에버 | 스테이영에버 서울 종로구 | 스테이영에버 창신8길 17 | 서울 종로구 창신8길 17 | 서울 종로구 창신8길 17 스테이영에버,20025.77
3200153,스테이코멧,서울특별시 종로구 창신8길 17 (창신동),010-5190-1529,no_match,0.0,네이버 검색 결과 없음,,,스테이코멧 | 스테이코멧 서울 종로구 | 스테이코멧 창신8길 17 | 서울 종로구 창신8길 17 | 서울 종로구 창신8길 17 스테이코멧,
3200168,아리하우스,서울특별시 중구 퇴계로22길 11-4,010-9198-4285,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=3.173707962118647",아리게스트하우스,서울특별시 중구 퇴계로22길 11-4,아리하우스 | 아리하우스 서울 중구 | 아리하우스 퇴계로22길 11-4 | 서울 중구 퇴계로22길 11-4 | 서울 중구 퇴계로22길 11-4 아리하우스,3.17
3200171,안녕 올라 서울,서울특별시 관악구 남부순환로160길 37 (신림동),010-3867-8242,no_match,0.0,네이버 검색 결과 없음,,,안녕 올라 서울 | 안녕 올라 서울 서울 관악구 | 안녕 올라 서울 남부순환로160길 37 | 서울 관악구 남부순환로160길 37 | 서울 관악구 남부순환로160길 37 안녕 올라 서울,
3200177,앤드류 게스트하우스,"서울특별시 마포구 와우산로29길 56-9 (서교동, 홍익예림빌라)",010-9700-2603,no_match,0.0,네이버 검색 결과 없음,,,앤드류 게스트하우스 | 앤드류 게스트하우스 서울 마포구 | 앤드류 게스트하우스 와우산로29길 56-9 | 서울 마포구 와우산로29길 56-9 | 서울 마포구 와우산로29길 56-9 앤드류 게스트하우스,
3200180,어반우드,서울특별시 마포구 와우산로29마길 5,"070-8613-0062, 010-8320-0833",review_needed,1.9562,"부분 일치: name=1.00, addr=0.12, dist=11831.866449554736",어반우드,서울특별시 강남구 언주로85길 23-10 역삼동제이빌딩,어반우드 | 어반우드 서울 마포구 | 어반우드 와우산로29마길 5 | 서울 마포구 와우산로29마길 5 | 서울 마포구 와우산로29마길 5 어반우드,11831.87
3200181,업플로 호스텔,서울특별시 서초구 서초대로56길 18,,review_needed,2.0,"부분 일치: name=0.00, addr=0.67, dist=3.695567099070396",업플로 서초,서울특별시 서초구 서초대로56길 18 유니언타운 교대,업플로 호스텔 | 업플로 호스텔 서울 서초구 | 업플로 호스텔 서초대로56길 18 | 서울 서초구 서초대로56길 18 | 서울 서초구 서초대로56길 18 업플로 호스텔,3.7
3200182,에이치에비뉴 건대점,서울특별시 광진구 동일로 156,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=11.756013676464464",에이치에비뉴 호텔 건대점,서울특별시 광진구 동일로 156,에이치에비뉴 건대점 | 에이치에비뉴 건대점 서울 광진구 | 에이치에비뉴 건대점 동일로 156 | 서울 광진구 동일로 156 | 서울 광진구 동일로 156 에이치에비뉴 건대점,11.76
3200183,엔트라호텔,서울특별시 강남구 도산대로 508,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=3.113086503231694",호텔엔트라,서울특별시 강남구 도산대로 508,엔트라호텔 | 엔트라호텔 서울 강남구 | 엔트라호텔 도산대로 508 | 서울 강남구 도산대로 508 | 서울 강남구 도산대로 508 엔트라호텔,3.11
3200184,엘르인호텔,서울특별시 용산구 한강대로71길 24,02-792-8700,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=6.3644382515833975",호텔이큐브,서울특별시 용산구 한강대로71길 24,엘르인호텔 | 엘르인호텔 서울 용산구 | 엘르인호텔 한강대로71길 24 | 서울 용산구 한강대로71길 24 | 서울 용산구 한강대로71길 24 엘르인호텔,6.36
3200185,엘스테이(Gangnam AN guesthouse),서울특별시 서초구 사평대로53길 8-3 세종빌리지,010-8789-8795,review_needed,2.22,"부분 일치: name=0.00, addr=0.80, dist=2.598614422395602",AN 게스트하우스,서울특별시 서초구 사평대로53길 8-3 세종빌리지,엘스테이(Gangnam AN guesthouse) | 엘스테이(Gangnam AN guesthouse) 서울 서초구 | 엘스테이(Gangnam AN guesthouse) 사평대로53길 8-3 | 엘스테이 | 엘스테이 서울 서초구 | 엘스테이 사평대로53길 8-3 | Gangnam AN guesthouse | Gangnam AN guesthouse 서울 서초구 | Gangnam AN guesthouse 사평대로53길 8-3 | 서울 서초구 사평대로53길 8-3 | 서울 서초구 사평대로53길 8-3 엘스테이(Gangnam AN guesthouse) | 서울 서초구 사평대로53길 8-3 엘스테이,2.6
3200189,연우하우스[한국관광 품질인증/Korea Quality],서울특별시 종로구 북촌로12길 5-13,02-742-1115,no_match,0.0,네이버 검색 결과 없음,,,연우하우스[한국관광 품질인증/Korea Quality] | 연우하우스[한국관광 품질인증/Korea Quality] 서울 종로구 | 연우하우스[한국관광 품질인증/Korea Quality] 북촌로12길 5-13 | 코리아케우아엘이트와이 | 코리아케우아엘이트와이 서울 종로구 | 코리아케우아엘이트와이 북촌로12길 5-13 | 코리아 케우아엘이트와이 | 코리아 케우아엘이트와이 서울 종로구 | 코리아 케우아엘이트와이 북촌로12길 5-13 | 서울 종로구 북촌로12길 5-13 | 서울 종로구 북촌로12길 5-13 연우하우스[한국관광 품질인증/Korea Quality],
3200191,예린당 바이 버틀러리,서울특별시 종로구 자하문로5가길 17-8,,no_match,0.0,네이버 검색 결과 없음,,,예린당 바이 버틀러리 | 예린당 바이 버틀러리 서울 종로구 | 예린당 바이 버틀러리 자하문로5가길 17-8 | 서울 종로구 자하문로5가길 17-8 | 서울 종로구 자하문로5가길 17-8 예린당 바이 버틀러리,
3200200,오리엔스호텔&레지던스,서울특별시 중구 삼일대로2길 50 (예장동),,review_needed,1.8429,"부분 일치: name=0.00, addr=0.57, dist=19.716273676566328",오리엔스호텔 &amp; 레지던스,서울특별시 중구 삼일대로2길 50 오리엔스 호텔 & 레지던스,오리엔스호텔&레지던스 | 오리엔스호텔&레지던스 서울 중구 | 오리엔스호텔&레지던스 삼일대로2길 50 | 서울 중구 삼일대로2길 50 | 서울 중구 삼일대로2길 50 오리엔스호텔&레지던스,19.72
3200203,오케이 게스트하우스,서울특별시 동작구 알마타길 21-18,010-2946-1708,closed_suspected,-0.27,"강한 일치 후보 없음: name=0.00, addr=0.00, dist=189672.82637481834",돼지꿈 한옥숙박,전북특별자치도 전주시 완산구 최명희길 26-36,오케이 게스트하우스 | 오케이 게스트하우스 서울 동작구 | 오케이 게스트하우스 알마타길 21-18 | 서울 동작구 알마타길 21-18 | 서울 동작구 알마타길 21-18 오케이 게스트하우스,189672.83
3200206,온스테이,서울특별시 성북구 삼선교로8길 43-12 (삼선동1가),010-2248-7340,review_needed,1.198,"주소는 가깝지만 상호 불일치: name=0.00, addr=0.33, dist=170.16554801934524",더 코나 한옥 별온재,서울특별시 성북구 삼선교로6길 19-7,온스테이 | 온스테이 서울 성북구 | 온스테이 삼선교로8길 43-12 | 서울 성북구 삼선교로8길 43-12 | 서울 성북구 삼선교로8길 43-12 온스테이,170.17
3200207,온유헌 바이 버틀러리,서울특별시 종로구 계동길 92-19 (계동),,no_match,0.0,네이버 검색 결과 없음,,,온유헌 바이 버틀러리 | 온유헌 바이 버틀러리 서울 종로구 | 온유헌 바이 버틀러리 계동길 92-19 | 서울 종로구 계동길 92-19 | 서울 종로구 계동길 92-19 온유헌 바이 버틀러리,
3200213,유준당 바이 버틀러리,서울특별시 종로구 계동4길 10-4 (계동),,no_match,0.0,네이버 검색 결과 없음,,,유준당 바이 버틀러리 | 유준당 바이 버틀러리 서울 종로구 | 유준당 바이 버틀러리 계동4길 10-4 | 서울 종로구 계동4길 10-4 | 서울 종로구 계동4길 10-4 유준당 바이 버틀러리,
3200219,이사벨관광호텔,서울특별시 금천구 가산로 50,,review_needed,2.55,"부분 일치: name=0.00, addr=1.00, dist=4.102547047592223",이사벨호텔,서울특별시 금천구 가산로 50,이사벨관광호텔 | 이사벨관광호텔 서울 금천구 | 이사벨관광호텔 가산로 50 | 서울 금천구 가산로 50 | 서울 금천구 가산로 50 이사벨관광호텔,4.1
3200220,이화한옥,서울특별시 종로구 필운대로 26-25,02-735-3959,review_needed,1.914,"부분 일치: name=0.86, addr=0.33, dist=591.692893370944",이화한옥 사직루,서울특별시 종로구 사직로9길 4,이화한옥 | 이화한옥 서울 종로구 | 이화한옥 필운대로 26-25 | 서울 종로구 필운대로 26-25 | 서울 종로구 필운대로 26-25 이화한옥,591.69
3200222,인우하우스[한국관광 품질인증/Korea Quality],서울특별시 종로구 계동6길 9,02-742-1115,no_match,0.0,네이버 검색 결과 없음,,,인우하우스[한국관광 품질인증/Korea Quality] | 인우하우스[한국관광 품질인증/Korea Quality] 서울 종로구 | 인우하우스[한국관광 품질인증/Korea Quality] 계동6길 9 | 코리아케우아엘이트와이 | 코리아케우아엘이트와이 서울 종로구 | 코리아케우아엘이트와이 계동6길 9 | 코리아 케우아엘이트와이 | 코리아 케우아엘이트와이 서울 종로구 | 코리아 케우아엘이트와이 계동6길 9 | 서울 종로구 계동6길 9 | 서울 종로구 계동6길 9 인우하우스[한국관광 품질인증/Korea Quality],
3200228,정스패밀리,서울특별시 용산구 효창원로8길 16,070-7566-2043,no_match,0.0,네이버 검색 결과 없음,,,정스패밀리 | 정스패밀리 서울 용산구 | 정스패밀리 효창원로8길 16 | 서울 용산구 효창원로8길 16 | 서울 용산구 효창원로8길 16 정스패밀리,
3200231,종로 성혜헌,서울특별시 종로구 종로 358-7 (숭인동),010-3362-1855,no_match,0.0,네이버 검색 결과 없음,,,종로 성혜헌 | 종로 성혜헌 서울 종로구 | 종로 성혜헌 종로 358-7 | 서울 종로구 종로 358-7 | 서울 종로구 종로 358-7 종로 성혜헌,
3200232,준하우스1,서울특별시 마포구 동교로 211-9 (동교동),010-5652-4485,closed_suspected,1.364,"강한 일치 후보 없음: name=0.86, addr=0.00, dist=448864.59268187586",준하우스,제주특별자치도 제주시 구좌읍 일주동로 3031 준하우스,준하우스1 | 준하우스1 서울 마포구 | 준하우스1 동교로 211-9 | 서울 마포구 동교로 211-9 | 서울 마포구 동교로 211-9 준하우스1,448864.59
3200233,준하우스2,서울특별시 마포구 동교로 211-9 (동교동),010-5652-4485,closed_suspected,1.364,"강한 일치 후보 없음: name=0.86, addr=0.00, dist=117085.92659160809",준하우스,충청북도 충주시 살미면 세성로 50,준하우스2 | 준하우스2 서울 마포구 | 준하우스2 동교로 211-9 | 서울 마포구 동교로 211-9 | 서울 마포구 동교로 211-9 준하우스2,117085.93
3200234,준하우스3,서울특별시 마포구 월드컵북로6길 84 (동교동),010-5652-4485,closed_suspected,1.5997,"강한 일치 후보 없음: name=0.86, addr=0.14, dist=17874.773943495078",준하우스,서울특별시 강동구 성내로6길 14-16,준하우스3 | 준하우스3 서울 마포구 | 준하우스3 월드컵북로6길 84 | 서울 마포구 월드컵북로6길 84 | 서울 마포구 월드컵북로6길 84 준하우스3,17874.77
