요구사항 ID,대분류,중분류,소분류,설명,기타,우선순위
FR-BMK-005,북마크,"장소 북마크 ",장소 북마크 선택,사용자는 북마크된 장소를 선택하여 해당 장소 정보를 확인할 수 있다.,,높음
FR-BMK-006,북마크,"장소 북마크 ",장소 북마크 취소,사용자는 북마크된 장소를 다시 선택하여 북마크를 해제할 수 있다.,,높음
FR-BMK-007,북마크,페이지 이동,채팅 페이지 이동,사용자는 북마크된 대화 또는 장소를 선택하여 해당 채팅 페이지로 이동할 수 있다.,,높음
FR-BMK-008,북마크,UI 인터랙션,북마크 탭 전환,사용자는 북마크된 대화 또는 장소를 선택하여 해당 채팅 페이지로 이동할 수 있다.,,중간
FR-BMK-009,북마크,UI 인터랙션,북마크 선택 상태 표시,사용자는 선택된 북마크 항목을 UI 스타일을 통해 시각적으로 구분하여 확인할 수 있다.,,낮음
FR-MEM-019,마이페이지,프로필 관리,"프로필 이미지 변경
",사용자는 Settings 메뉴에서 프로필 이미지를 업로드하거나 변경할 수 있다.,,중간
FR-MEM-020,마이페이지,프로필 관리,"닉네임 변경
",사용자는 Settings 메뉴에서 Google 계정 이름을 Nickname 또는 Username으로 수정할 수 있다.,,중간
FR-MEM-021,마이페이지,프로필 관리,"국가 정보 변경
",사용자는 Settings 메뉴에서 국가 정보를 수정하거나 재설정할 수 있다.,,중간
FR-MEM-022,마이페이지,"프로필 관리 ","회원 탈퇴
",사용자는 Google 계정 기반 계정 탈퇴를 진행할 수 있으며 탈퇴 시 개인정보 삭제 및 탈퇴 사유 입력을 진행할 수 있다.,,중간
FR-MEM-023,마이페이지,"프로필 관리 ","여행 스타일 선호도 설정 
","사용자는 여행 일정 방식(Travel Schedule), 여행 스타일(Travel Vibe), 여행 관심사(Travel Interest)를 설정할 수 있다.",,높음
FR-MEM-024,마이페이지,"프로필 관리 ","여행 특이사항 설정
","사용자는 여행 특이사항(예: 종교, 장애 여부, 유아 동반, 채식주의 등)을 설정할 수 있다.",,높음
FR-REC-008,보류,일정 계획,"여행 일정 관리 및 최적화
",사용자는 추천된 장소 및 경로 정보를 기반으로 여행 일정을 생성하거나 제안받을 수 있다.,,중간
FR-RESV-001,챗봇,"예약 제시 ","실시간 예약 지원
",사용자는 동의할 경우 개인 캘린더(예: Google Calendar)에 일정을 등록할 수 있다.,,중간
NFR-PERF-001,챗봇,"성능 ",응답 속도,"시스템은 이미지 분석 및 추천 결과를 5초 이내에 사용자에게  제공해야 한다. ",,높음
NFR-PERF-002,챗봇,"성능 ","대화 응답 시간
",사용자는 챗봇 응답을 10초 이내에 제공받을 수 있다.,,높음
NFR-REC-001,챗봇,"추천 품질 ","개인화 추천 ","사용자는 자신의 여행 선호도, 여행 특이사항 및 챗봇 대화 내역을 기반으로 개인화된 여행 추천 정보를 제공받을 수 있다.",,높음
NFR-REC-002,챗봇,"응답 품질 ","답변 정확도 ",사용자는 챗봇을 통해 여행 관련 질문에 대해 정확하고 관련성 높은 답변을 받을 수 있다.,,높음
NFR-REC-003,챗봇,"응답 품질 ",장소 저장,사용자는 챗봇 응답에서 추천된 특정 장소와 해당 장소와 관련된 대화 내용을 북마크로 저장할 수 있다.,,높음
NFR-REC-004,챗봇,"추천 품질 ","장소 추천 ",사용자는 챗봇 응답에 포함된 추천 장소 정보를 카드 형태로 확인할 수 있다.,,높음
FR-MAP-001,챗봇,지도 서비스,"지도 표시 ",사용자는 챗봇 인터페이스 옆에 표시되는 실시간 지도에서 추천 장소 위치를 확인할 수 있다.,,높음
FR-MAP-002,챗봇,지도 서비스,"위치 표시 ",사용자는 챗봇이 추천한 장소를 지도 마커 형태로 확인할 수 있다.,,높음
FR-MAP-003,챗봇,지도 서비스,"경로 표시 ",사용자는 추천된 여행 동선을 지도 경로 형태로 확인할 수 있다.,,높음
FR-MAP-004,챗봇,"지도 서비스 ",지도 접기/펼치기,사용자는 버튼을 통해 지도 화면을 접거나 펼칠 수 있다.,,중간
FR-CHAT-005,챗봇,"챗봇서비스 ",음성 입력,사용자는 마이크 버튼을 통해 음성으로 여행 질문을 입력할 수 있다.,,높음
FR-CHAT-006,챗봇,"챗봇서비스 ",음성 인식,사용자는 음성 입력을 텍스트(STT)로 변환하여 챗봇 질문으로 사용할 수 있다.,,높음
FR-CHAT-007,챗봇,"챗봇서비스 ","상태 표시 ","사용자는 음성 입력 상태(녹음 중, 처리 중, 오류 등)를 시각적으로 확인할 수 있다.",,높음
FR-CHAT-008,챗봇,"챗봇서비스 ","음성 출력 ",사용자는 챗봇 텍스트 답변을 음성(TTS)으로 들을 수 있다.,,높음
FR-CHAT-009,챗봇,"챗봇서비스 ",음성 제어,"사용자는 음성 응답을 재생, 일시정지, 중지할 수 있다.",,중간
FR-CHAT-010,챗봇,여행 정보 입력,여행 날짜 선택,사용자는 챗봇 대화를 시작하기 전에 여행 시작일과 종료일을 선택할 수 있다.,,높음
FR-CHAT-011,챗봇,여행 정보 입력,여행 기간 설정,사용자는 달력 UI를 통해 여행 기간을 선택하거나 수정할 수 있다.,,높음
FR-CHAT-012,챗봇,여행 정보 입력,여행 인원 설정,사용자는 성인 및 어린이 인원 수를 선택하여 여행 인원 정보를 입력할 수 있다.,,높음
FR-CHAT-013,챗봇,여행 정보 입력,여행 정보 수정,사용자는 입력한 여행 날짜 및 인원 정보를 수정할 수 있다.,,중간
FR-CHAT-014,챗봇,대화 시작,"챗봇 대화 시작 ",사용자는 입력한 여행 정보를 기반으로 채팅 시작하기 버튼을 선택하여 챗봇 대화를 시작할 수 있다.,,높음
FR-CHAT-015,챗봇,여행 추천,사용자 정보 기반 국내 여행지 추천,"사용자는 자신의 선호도, 특이사항 및 챗봇 대화 내역을 기반으로 국내 여행지를 추천받을 수 있다.",,높음
FR-CHAT-016,챗봇,여행 추천,사용자 정보 기반 국내 여행지 추천,사용자는 입력한 여행 날짜와 인원 정보를 추천 결과에 반영하여 확인할 수 있다.,,중간
FR-CHAT-017,챗봇,동선 추천,사용자 정보 기반 여행 동선 추천,"사용자는 자신의 선호도, 특이사항 및 챗봇 대화 내역을 기반으로 적합한 여행 동선을 추천받을 수 있다.",,높음
FR-CHAT-019,챗봇,동선 추천,사용자 정보 기반 여행 동선 추천,사용자는 추천된 장소를 기반으로 경로 및 관련 상품 정보를 함께 제공받을 수 있다.,,높음
FR-CHAT-020,챗봇,대화 시작,Skip 기능,사용자는 여행 정보 입력 단계를 건너뛰고 바로 챗봇 대화를 시작할 수 있다.,,낮음
FR-CHAT-021,챗봇,UI 기능,모달 종료,사용자는 닫기 버튼을 통해 여행 정보 입력 모달을 종료할 수 있다.,,중간
NFR-SYS-001,서버,트래픽,동시 사용자 지원,사용자는 최소 1000명 이상의 동시 사용자 환경에서도 안정적인 서비스를 이용할 수 있다.,,중간
NFR-SYS-002,서버,보안,HTTPS 통신,사용자는 HTTPS 기반의 안전한 네트워크 환경에서 서비스를 이용할 수 있다.,,높음
NFR-SYS-003,서버,"시스템 구조 ",수평 확장 구조,사용자는 확장 가능한 서버 환경(Docker 기반)을 통해 안정적인 서비스를 이용할 수 있다.,,중간
NFR-RES-001,응답,답변,이미지 분석 응답 시간 (1),이미지 분석 및 추천 결과는 5초 이내 제공,,높음
NFR-RES-002,응답,답변,대화 응답 시간 (1),대화 응답 시간은 3초 이내,,높음
NFR-DES-001,디자인,화면,직관적인 UI/UX,"사용자는 주요 기능(챗봇, 추천 장소, 북마크 등)에 쉽게 접근할 수 있는 직관적인 UI를 사용할 수 있다.",,중간
NFR-DES-003,디자인,"화면 ",지도 UI / 지도시각화,사용자는 지도 기반 시각화를 통해 추천 장소와 동선의 위치 관계를 쉽게 이해할 수 있다.,,중간
NFR-DES-004,디자인,인터랙션,사용자 피드백,사용자는 북마크 저장 및 추천 생성 등 주요 액션에 대한 시각적 피드백을 확인할 수 있다.,,중간
NFR-DES-005,디자인,디자인 시스템,UI 일관성,사용자는 전체 서비스에서 일관된 디자인 스타일을 경험할 수 있다.,,중간
